year,film,category,name,won,discount,role,category2
1959,Ben-Hur,DIRECTING,William Wyler,won,,NA,NA
1959,Ben-Hur,FILM EDITING,"Ralph E. Winters, John D. Dunning",won,,NA,NA
1959,Ben-Hur,MUSIC,Miklos Rozsa,won,,NA,(Music Score of a Dramatic or Comedy Picture)
1959,Ben-Hur,BEST MOTION PICTURE,"Sam Zimbalist, Producer",won,,NA,NA
1959,Ben-Hur,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",won,,NA,NA
1959,Ben-Hur,SPECIAL EFFECTS,"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory",won,,NA,NA
1959,Ben-Hur,WRITING,Karl Tunberg,,,NA,(Screenplay--based on material from another medium)
1990,Dances With Wolves,ACTOR IN A LEADING ROLE,Kevin Costner,,,"{""Lieutenant Dunbar""}",NA
1990,Dances With Wolves,ACTOR IN A SUPPORTING ROLE,Graham Greene,,,"{""Kicking Bird""}",NA
1990,Dances With Wolves,ACTRESS IN A SUPPORTING ROLE,Mary McDonnell,,,"{""Stands With A Fist""}",NA
1990,Dances With Wolves,ART DIRECTION,Art Direction: Jeffrey Beecroft; Set Decoration: Lisa Dean,,,NA,NA
1990,Dances With Wolves,CINEMATOGRAPHY,Dean Semler,won,,NA,NA
1990,Dances With Wolves,COSTUME DESIGN,Elsa Zamparelli,,,NA,NA
1990,Dances With Wolves,DIRECTING,Kevin Costner,won,,NA,NA
1990,Dances With Wolves,FILM EDITING,Neil Travis,won,,NA,NA
1990,Dances With Wolves,MUSIC,John Barry,won,,NA,(Original Score)
1990,Dances With Wolves,BEST PICTURE,"Jim Wilson and Kevin Costner, Producers",won,,NA,NA
1990,Dances With Wolves,SOUND,"Jeffrey Perkins, Bill W. Benton, Greg Watkins, Russell Williams II",won,,NA,NA
1990,Dances With Wolves,WRITING,Michael Blake ,won,,NA,(Screenplay Based on Material from Another Medium)
2000,Gladiator,ACTOR IN A LEADING ROLE,Russell Crowe,won,,"{""Maximus Decimus Meridius""}",NA
2000,Gladiator,ACTOR IN A SUPPORTING ROLE,Joaquin Phoenix,,,"{""Commodus""}",NA
2000,Gladiator,ART DIRECTION,Art Direction: Arthur Max; Set Decoration: Crispian Sallis,,,NA,NA
2000,Gladiator,CINEMATOGRAPHY,John Mathieson,,,NA,NA
2000,Gladiator,COSTUME DESIGN,Janty Yates,won,,NA,NA
2000,Gladiator,DIRECTING,Ridley Scott,,,NA,NA
2000,Gladiator,FILM EDITING,Pietro Scalia,,,NA,NA
2000,Gladiator,MUSIC,Hans Zimmer,,,NA,(Original Score)
2000,Gladiator,BEST PICTURE,"Douglas Wick, David Franzoni and Branko Lustig, Producers",won,,NA,NA
2000,Gladiator,SOUND,"Scott Millan, Bob Beemer, Ken Weston",won,,NA,NA
2000,Gladiator,VISUAL EFFECTS,"John Nelson, Neil Corbould, Tim Burke, Rob Harvey",won,,NA,NA
2000,Gladiator,WRITING,Screenplay by David Franzoni and John Logan and William Nicholson; Story by David Franzoni,,,NA,(Screenplay Written Directly for the Screen)
1948,Johnny Belinda,ACTOR,Lew Ayres,,,"{""Dr. Robert Richardson""}",NA
1948,Johnny Belinda,ACTOR IN A SUPPORTING ROLE,Charles Bickford,,,"{""Black McDonald""}",NA
1948,Johnny Belinda,ACTRESS,Jane Wyman,won,,"{""Belinda McDonald""}",NA
1948,Johnny Belinda,ACTRESS IN A SUPPORTING ROLE,Agnes Moorehead,,,"{""Aggie McDonald""}",NA
1948,Johnny Belinda,ART DIRECTION,Art Direction: Robert Haas; Set Decoration: William Wallace,,,NA,(Black-and-White)
1948,Johnny Belinda,CINEMATOGRAPHY,Ted McCord,,,NA,(Black-and-White)
1948,Johnny Belinda,DIRECTING,Jean Negulesco,,,NA,NA
1948,Johnny Belinda,FILM EDITING,David Weisbart,,,NA,NA
1948,Johnny Belinda,MUSIC,Max Steiner,,,NA,(Music Score of a Dramatic or Comedy Picture)
1948,Johnny Belinda,BEST MOTION PICTURE,Warner Bros.,,,NA,NA
1948,Johnny Belinda,SOUND RECORDING,"Warner Bros. Studio Sound Department, Col. Nathan O. Levinson, Sound Director",,,NA,NA
1948,Johnny Belinda,WRITING,"Irmgard Von Cube, Allen Vincent",,,NA,(Screenplay)
2012,Lincoln,ACTOR IN A LEADING ROLE,Daniel Day-Lewis ,won,,"{""Abraham Lincoln""}",NA
2012,Lincoln,ACTOR IN A SUPPORTING ROLE,Tommy Lee Jones,,,"{""Thaddeus Stevens""}",NA
2012,Lincoln,ACTRESS IN A SUPPORTING ROLE,Sally Field,,,"{""Mary Todd Lincoln""}",NA
2012,Lincoln,CINEMATOGRAPHY,Janusz Kaminski,,,NA,NA
2012,Lincoln,COSTUME DESIGN,Joanna Johnston,,,NA,NA
2012,Lincoln,DIRECTING,Steven Spielberg,,,NA,NA
2012,Lincoln,FILM EDITING,Michael Kahn,,,NA,NA
2012,Lincoln,MUSIC,John Williams,,,NA,(Original Score)
2012,Lincoln,BEST PICTURE,"Steven Spielberg and Kathleen Kennedy, Producers",,,NA,NA
2012,Lincoln,PRODUCTION DESIGN,Production Design: Rick Carter; Set Decoration: Jim Erickson,won,,NA,NA
2012,Lincoln,SOUND MIXING,"Andy Nelson, Gary Rydstrom and Ronald Judkins",,,NA,NA
2012,Lincoln,WRITING,Screenplay by Tony Kushner,,,NA,(Adapted Screenplay)
1942,Mrs. Miniver,ACTOR,Walter Pidgeon,,,"{""Clem Miniver""}",NA
